yoko-ono,page = 1,id = 0," Cosmetics is a boon to every woman, but a girl's best beauty aid is still a near-sighted man"
yoko-ono,page = 1,id = 1, Spring passes and one remembers one's innocence. Summer passes and one remembers one's exuberance. Autumn passes and one remembers one's reverence. Winter passes and one remembers one's perseverance.
yoko-ono,page = 1,id = 2, I saw that nothing was permanent. You don't want to possess anything that is dear to you because you might lose it.
yoko-ono,page = 1,id = 3, Everybody's an artist.  Everybody's God.  It's just that they're inhibited.
yoko-ono,page = 1,id = 4," I wonder why men get serious at all. They have this delicate, long thing hanging outside their bodies which goes up and down by its own will. If I were a man I would always be laughing at myself."
yoko-ono,page = 1,id = 5, All my concerts had no sounds in them; they were completely silent. People had to make up their own music in their minds!
yoko-ono,page = 1,id = 6," When people get cynical about love, they should look at us [Yoko and John Lennon] and see it is possible"
yoko-ono,page = 1,id = 7," I believe in people so much that if the whole of civilization is burned so we don't have any memory of it, even then people will start to build their own art.  It is a necessity -- a function.  We don't need history."
yoko-ono,page = 1,id = 8," Remember, each one of us has the power to change the world. Just start thinking peace, and the message will spread quicker than you think."
yoko-ono,page = 1,id = 9, Spread the word. Spread the peace.
yoko-ono,page = 1,id = 10, Art is my life and my life is art.
yoko-ono,page = 1,id = 11," Each time we don't say what we wanna say, we're dying."
yoko-ono,page = 1,id = 12," We're all water from different rivers,That's why it's so easy to meet,We're all water in this vast, vast ocean,Someday we'll evaporate together."
yoko-ono,page = 1,id = 13, A dream you dream alone is only a dream. A dream you dream together is reality. 
yoko-ono,page = 1,id = 14, Spring passes and one remembers one's innocence.Summer passes and one remembers one's exuberance.Autumn passes and one remembers one's reverence.Winter passes and one remembers one's perseverance.
yoko-ono,page = 1,id = 15, Tape the sound of the moon fading at dawn. Give it to your mother to listen to when she's in sorrow.
yoko-ono,page = 1,id = 16, Use your blood to paint. Keep painting until you faint. Keep painting until you die.
yoko-ono,page = 1,id = 17, People make music to get a reaction. Music is communication.
yoko-ono,page = 1,id = 18, John and I felt that we were like people in an H. G. Wells story. Two people who are walking so fast that nobody else can see them.
yoko-ono,page = 1,id = 19, I'm not going to doubt my life.
yoko-ono,page = 1,id = 20," If your life changes, we can change the world, too."
yoko-ono,page = 1,id = 21, Life with another person is always difficult.
yoko-ono,page = 1,id = 22, My life was pretty rough.
yoko-ono,page = 1,id = 23," Walking on thin ice, I'm paying the price. I'm throwing the dice in the air. Why must we learn it the hard way And play the game of life with your heart?"
yoko-ono,page = 1,id = 24," I gave you my life, you gave me my life. Like a gush of wind in my hair. Why do we forget what's been said And play the game of life with our hearts?"
yoko-ono,page = 2,id = 25," Don't ever give up on life. Life can be so beautiful, especially after you've spent a lot of time with it."
yoko-ono,page = 2,id = 26, The nice thing about the gallery shows is that without having to pay any money you can just go and see it.
yoko-ono,page = 2,id = 27, War is over if you want it.
yoko-ono,page = 2,id = 28," When you go to war, both sides lose totally."
yoko-ono,page = 2,id = 29," Remember, our hearts are one. Even when we are at war with each other, our hearts are always beating in unison."
yoko-ono,page = 2,id = 30, Artists are going to be the metronome of this society.
yoko-ono,page = 2,id = 31, The 1960s were about releasing ourselves from conventional society and freeing ourselves.
yoko-ono,page = 2,id = 32," Never say goodbye, You say tomorrow's another day, All I know is we're here today. I've got nightmares I could never share with you, The kind that keeps me up all night. So hold me tight till the room is light And tell me that it's all right."
yoko-ono,page = 2,id = 33, I dedicate this light tower to John Lennon my love for you is forever yoko ono October 9th 2007
yoko-ono,page = 2,id = 34, John wrote with a very deep love for the human race and a concern for its future.
yoko-ono,page = 2,id = 35," The opposite of love is fear, not hate."
yoko-ono,page = 2,id = 36," I just go with the flow, so any style can be in my music - that makes it exciting."
yoko-ono,page = 2,id = 37," Marriage is a gamble, let's be honest."
yoko-ono,page = 2,id = 38, The cynicism that you have is not your real soul.
